epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.6467,1.4728,0.0,361.7805,0.6942,0.0,0.4844,0.0,0.0,0.854,0.0,0.4931,0.0,0.0,0.7927,0.0779,0.596,0.75,0.0411,0.026,0.7803
2,1.6172,1.5111,0.0001,362.4528,0.635,0.1166,0.5095,0.2245,0.0788,0.8029,0.1,0.5617,0.15,0.075,0.7825,0.2074,0.6529,0.4643,0.1336,0.1414,0.7401
3,1.5649,1.4301,0.0001,361.5999,0.6993,0.0463,0.5763,0.7692,0.0239,0.854,0.0,0.6143,0.0,0.0,0.7905,0.3017,0.6759,0.521,0.2123,0.116,0.7813
4,1.5321,1.4543,0.0001,362.1894,0.6635,0.1252,0.5178,0.3056,0.0788,0.854,0.0,0.5675,0.0,0.0,0.7832,0.3012,0.689,0.4812,0.2192,0.1421,0.7669
5,1.4816,1.4413,0.0001,361.7577,0.6708,0.1209,0.5524,0.3298,0.074,0.854,0.0,0.5612,0.0,0.0,0.7905,0.315,0.6823,0.5197,0.226,0.1453,0.7718
6,1.4533,1.4082,0.0001,361.9185,0.681,0.373,0.6482,0.4676,0.3103,0.854,0.0,0.555,0.0,0.0,0.7978,0.3747,0.7384,0.5497,0.2842,0.2492,0.7776
7,1.4048,1.4995,0.0001,362.3658,0.6343,0.3293,0.5682,0.375,0.2936,0.854,0.0,0.5663,0.0,0.0,0.7971,0.4612,0.7041,0.5312,0.4075,0.2635,0.7618
8,1.3628,1.4857,0.0001,362.6094,0.6949,0.2641,0.6073,0.5034,0.179,0.854,0.0,0.5413,0.0,0.0,0.7825,0.3713,0.6909,0.4835,0.3014,0.2118,0.7771
9,1.3089,1.5775,0.0001,361.8771,0.6453,0.3832,0.6478,0.4092,0.3604,0.854,0.0,0.5308,0.0,0.0,0.7642,0.2642,0.6516,0.3946,0.1986,0.2158,0.7545
10,1.2578,1.5095,0.0001,361.7675,0.6438,0.3629,0.6273,0.4006,0.3317,0.854,0.0,0.5776,0.0,0.0,0.7569,0.4269,0.7051,0.4291,0.4247,0.2633,0.7516
11,1.2018,1.6636,0.0001,361.5936,0.6898,0.1996,0.6712,0.4732,0.1265,0.854,0.0,0.5476,0.0,0.0,0.808,0.3133,0.715,0.6593,0.2055,0.171,0.7839
