epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
12,1.1576,1.5839,0.0001,361.3266,0.6358,0.2861,0.6003,0.3571,0.2387,0.8526,0.0,0.5486,0.0,0.0,0.7927,0.458,0.7406,0.5172,0.411,0.248,0.7603
13,1.0834,1.6634,0.0001,361.8053,0.6518,0.3908,0.6415,0.4203,0.3652,0.854,0.0,0.561,0.0,0.0,0.7964,0.3341,0.7327,0.5512,0.2397,0.2416,0.7674
14,1.0317,1.6688,0.0001,353.2474,0.6547,0.4335,0.6373,0.4351,0.432,0.8416,0.0524,0.5809,0.2069,0.03,0.7277,0.4107,0.7468,0.3812,0.4452,0.2989,0.7414
15,0.9785,1.81,0.0001,354.714,0.6467,0.3731,0.6302,0.4079,0.3437,0.8248,0.0476,0.5202,0.1154,0.03,0.7672,0.308,0.7146,0.4201,0.2432,0.2429,0.7462
16,0.9328,2.0909,0.0001,354.5046,0.627,0.3652,0.5697,0.3808,0.3508,0.8277,0.0635,0.514,0.1538,0.04,0.7423,0.3752,0.6687,0.3883,0.363,0.268,0.7324
17,0.8514,2.0194,0.0,352.3258,0.6102,0.4196,0.6323,0.3852,0.4606,0.8292,0.1,0.5548,0.2167,0.065,0.7657,0.3185,0.7152,0.419,0.2568,0.2793,0.735
18,0.8101,2.1053,0.0,354.0919,0.6336,0.4705,0.6439,0.4216,0.5322,0.838,0.0902,0.5518,0.25,0.055,0.7796,0.3009,0.6815,0.4643,0.2226,0.2872,0.7504
19,0.7487,2.3333,0.0,354.2681,0.6431,0.3506,0.6192,0.3952,0.315,0.8,0.1543,0.537,0.2016,0.125,0.7642,0.3501,0.6853,0.4244,0.2979,0.285,0.7358
20,0.7037,2.2615,0.0,353.702,0.6584,0.3482,0.6361,0.4181,0.2983,0.819,0.1206,0.5484,0.2073,0.085,0.7847,0.3124,0.7155,0.4891,0.2295,0.2604,0.754
21,0.6559,2.4912,0.0,353.9177,0.6569,0.4154,0.6412,0.4338,0.3986,0.7869,0.1705,0.5368,0.1974,0.15,0.765,0.2748,0.6747,0.4013,0.2089,0.2869,0.7363
22,0.6114,2.6128,0.0,353.7561,0.6555,0.3463,0.6374,0.4125,0.2983,0.8102,0.0647,0.5738,0.1154,0.045,0.7715,0.2704,0.662,0.4234,0.1986,0.2271,0.7457
23,0.5547,2.4551,0.0,352.9675,0.654,0.4384,0.6444,0.4353,0.4415,0.7759,0.2067,0.5594,0.2139,0.2,0.7752,0.374,0.7015,0.46,0.3151,0.3397,0.735
24,0.5279,2.6376,0.0,353.7919,0.6635,0.4021,0.626,0.4403,0.3699,0.7978,0.1631,0.5849,0.2061,0.135,0.7745,0.2831,0.7002,0.4388,0.2089,0.2828,0.7453
25,0.4931,2.7373,0.0,353.823,0.6482,0.4108,0.6378,0.4211,0.401,0.7628,0.2015,0.558,0.1981,0.205,0.7861,0.3386,0.7003,0.4967,0.2568,0.3169,0.7324
26,0.4592,2.7771,0.0,352.3164,0.6336,0.4269,0.6382,0.4092,0.4463,0.7642,0.2025,0.579,0.2,0.205,0.7737,0.3376,0.7014,0.4489,0.2705,0.3223,0.7238
27,0.4316,2.8519,0.0,351.976,0.6555,0.4313,0.6476,0.4355,0.4272,0.8015,0.2139,0.5906,0.2534,0.185,0.7803,0.2884,0.6831,0.4656,0.2089,0.3112,0.7457
28,0.4214,2.8189,0.0,353.5202,0.638,0.4402,0.6434,0.4176,0.4654,0.8007,0.1548,0.5783,0.2033,0.125,0.7628,0.295,0.6919,0.4024,0.2329,0.2967,0.7338
29,0.4132,2.8921,0.0,354.4885,0.6401,0.4353,0.6445,0.4185,0.4535,0.7657,0.1914,0.5829,0.1929,0.19,0.7745,0.3209,0.6906,0.4479,0.25,0.3159,0.7268
30,0.3914,2.8631,0.0,353.0263,0.6358,0.4284,0.6381,0.4119,0.4463,0.7737,0.1667,0.5948,0.1802,0.155,0.7752,0.3156,0.688,0.4494,0.2432,0.3035,0.7282
