run_id,timestamp,model_type,tag,kind,epochs_run,best_epoch,best_val_loss,crosses_f1,crosses_auc,macro_f1,looks_f1,actions_f1,run_dir,best_ckpt,git_sha
20260710_122947_pose_full,20260710_122947,pose_full,,eval,0,0,nan,0.0644,0.5401,0.3187,0.2209,0.6708,D:\Grad_Ped_Predict\outputs\runs\20260710_122947_pose_full,outputs\runs\20260710_122947_pose_full\checkpoints\best.pth,ecf2f7c
20260710_152517_pose_full,20260710_152517,pose_full,,eval,0,0,nan,0.1529,0.8081,0.3659,0.2542,0.6905,D:\Grad_Ped_Predict\outputs\runs\20260710_152517_pose_full,outputs\runs\20260710_152517_pose_full\checkpoints\best.pth,80b0d80
20260710_152517_pose_full,20260710_152517,pose_full,,eval,0,0,nan,0.2107,0.7422,0.4029,0.2916,0.7062,D:\Grad_Ped_Predict\outputs\runs\20260710_152517_pose_full,outputs\runs\20260710_152517_pose_full\checkpoints\best.pth,80b0d80
20260710_152517_pose_full,20260710_152517,pose_full,,eval,0,0,nan,0.0343,0.4473,0.37,0.4229,0.653,D:\Grad_Ped_Predict\outputs\runs\20260710_152517_pose_full,outputs\runs\20260710_152517_pose_full\checkpoints\best.pth,80b0d80
20260710_152517_pose_full,20260710_152517,pose_full,,eval,0,0,nan,0.1864,0.5141,0.444,0.4376,0.7081,D:\Grad_Ped_Predict\outputs\runs\20260710_152517_pose_full,outputs\runs\20260710_152517_pose_full\checkpoints\best.pth,80b0d80
20260712_160717_pose_full,20260712_160717,pose_full,,train,21,1,3.8694,0.054,0.7878,0.1289,0.0292,0.3036,outputs\runs\20260712_160717_pose_full,outputs\runs\20260712_160717_pose_full\checkpoints\best.pth,a4c3880
20260712_160717_pose_full,20260712_160717,pose_full,,eval,0,0,nan,0.054,0.7877,0.1266,0.0308,0.2951,D:\Grad_Ped_Predict\outputs\runs\20260712_160717_pose_full,outputs\runs\20260712_160717_pose_full\checkpoints\best.pth,e352960
20260714_134253_pose_full,20260714_134253,pose_full,,eval,0,0,nan,0.2617,0.8584,0.0872,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260714_134253_pose_full,outputs\runs\20260714_134253_pose_full\checkpoints\best.pth,b648694
20260714_134253_pose_full,20260714_134253,pose_full,,eval,0,0,nan,0.2491,0.7838,0.083,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260714_134253_pose_full,outputs\runs\20260714_134253_pose_full\checkpoints\best.pth,b648694
20260714_134253_pose_full,20260714_134253,pose_full,,eval,0,0,nan,0.0472,0.6125,0.0157,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260714_134253_pose_full,outputs\runs\20260714_134253_pose_full\checkpoints\best.pth,b648694
20260714_134253_pose_full,20260714_134253,pose_full,,eval,0,0,nan,0.2577,0.6789,0.0859,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260714_134253_pose_full,outputs\runs\20260714_134253_pose_full\checkpoints\best.pth,b648694
20260721_123011_pose_full,20260721_123011,pose_full,,train,30,13,0.67,0.5782,0.8208,nan,nan,nan,outputs\runs\20260721_123011_pose_full,outputs\runs\20260721_123011_pose_full\checkpoints\best.pth,d4bffa9
20260721_123011_pose_full,20260721_123011,pose_full,,eval,0,0,nan,0.5818,0.8204,0.1939,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260721_123011_pose_full,outputs\runs\20260721_123011_pose_full\checkpoints\best.pth,d4bffa9
20260721_123011_pose_full,20260721_123011,pose_full,,eval,0,0,nan,0.7161,0.8804,0.2387,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260721_123011_pose_full,outputs\runs\20260721_123011_pose_full\checkpoints\best.pth,d4bffa9
20260721_123011_pose_full,20260721_123011,pose_full,,eval,0,0,nan,0.0522,0.4602,0.0174,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260721_123011_pose_full,outputs\runs\20260721_123011_pose_full\checkpoints\best.pth,d4bffa9
20260721_123011_pose_full,20260721_123011,pose_full,,eval,0,0,nan,0.0637,0.5288,0.0212,0.0,0.0,D:\Grad_Ped_Predict\outputs\runs\20260721_123011_pose_full,outputs\runs\20260721_123011_pose_full\checkpoints\best.pth,d4bffa9
