epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,0.466,3.8694,0.0,3929.8949,0.5722,0.3036,0.5193,0.4416,0.2313,0.9188,0.0292,0.6448,0.074,0.0182,0.0278,0.054,0.7878,0.0278,1.0,0.1289,0.5062
2,0.3673,5.4794,0.0,3907.067,0.5968,0.0,0.4467,0.0,0.0,0.9328,0.0,0.6191,0.0,0.0,0.0278,0.054,0.7258,0.0278,1.0,0.018,0.5191
3,0.3223,0.1241,0.0001,3913.7583,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9612,0.133,0.8065,0.1753,0.1072,0.0443,0.8303
4,0.2649,6.9148,0.0001,3933.0445,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.0285,0.0541,0.7374,0.0278,1.0,0.018,0.5194
5,0.3445,0.1915,0.0001,3955.8856,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9343,0.1097,0.7297,0.0879,0.1459,0.0366,0.8213
6,0.3313,0.1713,0.0001,3947.2796,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9435,0.1397,0.7544,0.121,0.1652,0.0466,0.8244
7,0.3019,0.1353,0.0001,3934.2233,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9648,0.2419,0.8077,0.301,0.2021,0.0806,0.8315
8,0.2816,0.1202,0.0001,3950.8358,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9604,0.2591,0.8536,0.2694,0.2496,0.0864,0.83
9,0.2725,0.147,0.0001,3952.2024,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9652,0.1054,0.7163,0.1842,0.0738,0.0351,0.8316
10,0.2511,0.1526,0.0001,3906.5918,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9587,0.1295,0.7663,0.1559,0.1107,0.0432,0.8294
11,0.2413,0.1488,0.0001,3949.975,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9653,0.1122,0.6355,0.1931,0.0791,0.0374,0.8316
12,0.2295,0.2218,0.0001,3961.9481,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9196,0.1833,0.7356,0.1277,0.3251,0.0611,0.8164
13,0.1977,3.7634,0.0001,3937.1409,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.2094,0.0633,0.6671,0.0327,0.9613,0.0211,0.5797
14,0.2397,0.1356,0.0001,3945.5276,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9666,0.0854,0.717,0.1778,0.0562,0.0285,0.8321
15,0.2002,0.1423,0.0001,3939.5882,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9638,0.1412,0.7564,0.2068,0.1072,0.0471,0.8312
16,0.1828,0.1426,0.0001,3967.5937,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.954,0.1779,0.8262,0.1765,0.1793,0.0593,0.8279
17,0.1653,3.1923,0.0001,3933.1662,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.2781,0.0676,0.7069,0.035,0.942,0.0225,0.6026
18,0.2115,0.2143,0.0001,3913.9173,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9703,0.0529,0.6543,0.2297,0.0299,0.0176,0.8333
19,0.1888,0.196,0.0,3926.4272,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9663,0.1665,0.7738,0.2654,0.1213,0.0555,0.832
20,0.1751,0.2022,0.0,3944.742,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9651,0.1268,0.678,0.2072,0.0914,0.0423,0.8316
21,0.1285,0.186,0.0,3957.8813,0.5968,0.0,0.5,0.0,0.0,0.9328,0.0,0.5,0.0,0.0,0.9678,0.1178,0.6844,0.2472,0.0773,0.0393,0.8325
