epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.009,9.701,0.0001,8638.6564,0.517,0.549,0.5871,0.4403,0.7292,0.8564,0.1128,0.5432,0.0963,0.1359,0.0282,0.0541,0.6752,0.0278,1.0,0.2386,0.4672
2,0.8047,13.682,0.0001,8629.1265,0.5039,0.5401,0.5699,0.4312,0.7227,0.4843,0.1312,0.5363,0.074,0.5799,0.0334,0.0543,0.6489,0.0279,1.0,0.2419,0.3405
3,0.7061,1.5719,0.0001,8600.4644,0.63,0.5097,0.6395,0.5472,0.4771,0.9125,0.0132,0.5627,0.0272,0.0087,0.9596,0.0119,0.6073,0.0186,0.0088,0.1783,0.834
4,0.6441,17.8373,0.0001,8571.1239,0.5114,0.5674,0.5916,0.4412,0.7947,0.8959,0.0632,0.5252,0.0798,0.0523,0.0278,0.054,0.5262,0.0278,1.0,0.2282,0.4783
5,0.642,2.5363,0.0001,8598.9945,0.5571,0.5592,0.6198,0.4669,0.6969,0.8261,0.1437,0.6323,0.1074,0.2173,0.9599,0.0907,0.662,0.1224,0.0721,0.2645,0.781
6,0.5629,4.2289,0.0001,8595.2696,0.5804,0.558,0.6199,0.4849,0.6569,0.6488,0.145,0.5781,0.0866,0.4433,0.9505,0.1318,0.691,0.1285,0.1353,0.2783,0.7266
7,0.5325,12.5618,0.0001,8587.0966,0.6066,0.3985,0.6039,0.5196,0.3232,0.0863,0.1282,0.534,0.0685,1.0,0.951,0.0635,0.6544,0.0677,0.0598,0.1967,0.548
8,0.4611,3.1473,0.0001,8596.2107,0.5881,0.4409,0.591,0.487,0.4027,0.8671,0.0835,0.5513,0.0777,0.0901,0.9497,0.0172,0.6256,0.0188,0.0158,0.1805,0.8017
9,0.4056,3.2784,0.0001,8588.3139,0.5988,0.5106,0.6218,0.5023,0.5192,0.8745,0.0906,0.5605,0.0882,0.093,0.9628,0.0052,0.5346,0.0102,0.0035,0.2021,0.812
10,0.3848,10.8797,0.0,8583.9416,0.5889,0.5309,0.6108,0.4916,0.577,0.1194,0.1288,0.5802,0.069,0.9695,0.9489,0.0224,0.6419,0.0239,0.0211,0.2274,0.5524
11,0.3429,3.9246,0.0,8582.9569,0.5918,0.5651,0.6427,0.4953,0.6579,0.8965,0.0798,0.554,0.099,0.0669,0.9139,0.0381,0.5942,0.0276,0.0615,0.2277,0.8007
12,0.3145,3.7404,0.0,8565.0806,0.6046,0.5544,0.6424,0.5081,0.61,0.8563,0.1143,0.5875,0.0975,0.1381,0.9456,0.0194,0.5846,0.0194,0.0193,0.2293,0.8022
13,0.3173,11.1279,0.0,8588.5676,0.5576,0.5694,0.6105,0.4686,0.7253,0.8863,0.0658,0.5927,0.0733,0.0596,0.5011,0.0684,0.6266,0.036,0.6591,0.2345,0.6483
14,0.2836,4.6861,0.0,8598.6052,0.5635,0.5678,0.6177,0.4725,0.7111,0.8736,0.075,0.5839,0.0738,0.0763,0.9057,0.033,0.5702,0.0231,0.058,0.2253,0.7809
15,0.2637,4.6973,0.0,8579.874,0.5769,0.5824,0.6328,0.4837,0.7318,0.8595,0.131,0.5773,0.1121,0.1577,0.9419,0.0309,0.6145,0.0288,0.0334,0.2481,0.7928
16,0.2887,4.3273,0.0,8574.5027,0.5892,0.4965,0.6112,0.4907,0.5024,0.8639,0.1149,0.5665,0.102,0.1315,0.9515,0.0405,0.6642,0.045,0.0369,0.2173,0.8015
17,0.2643,9.0207,0.0,8573.3969,0.5743,0.5401,0.6044,0.4785,0.6199,0.8343,0.1341,0.5723,0.1033,0.1911,0.679,0.0761,0.6147,0.0414,0.4763,0.2501,0.6959
18,0.2526,4.8409,0.0,8588.9253,0.5654,0.5242,0.5928,0.4692,0.5938,0.8791,0.0726,0.5602,0.0749,0.0705,0.9569,0.02,0.5988,0.0271,0.0158,0.2056,0.8005
19,0.2649,4.7459,0.0,8591.1534,0.5923,0.58,0.6363,0.496,0.6981,0.8549,0.0827,0.5643,0.0718,0.0974,0.9504,0.0305,0.6088,0.0334,0.0281,0.2311,0.7992
20,0.2636,9.8177,0.0,8597.5823,0.5976,0.5267,0.6194,0.5009,0.5553,0.2489,0.1306,0.557,0.0708,0.8401,0.9418,0.0261,0.6065,0.0244,0.0281,0.2278,0.5961
21,0.2446,9.328,0.0,8582.9004,0.5872,0.5569,0.6132,0.4909,0.6435,0.3179,0.1351,0.5647,0.0739,0.7936,0.9378,0.0435,0.635,0.038,0.051,0.2452,0.6143
