epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.3206,6.3706,0.0,8970.4183,0.4231,0.5638,0.5273,0.4055,0.9247,0.8295,0.1055,0.6181,0.0814,0.1497,0.0278,0.054,0.746,0.0278,1.0,0.2411,0.4268
2,1.0971,6.772,0.0001,8933.9006,0.5918,0.4815,0.6033,0.4934,0.4702,0.8364,0.1586,0.6176,0.1212,0.2297,0.0451,0.055,0.7804,0.0283,1.0,0.2317,0.4911
3,0.9013,1.4993,0.0,8971.0741,0.631,0.4631,0.6044,0.5602,0.3947,0.8634,0.1391,0.6496,0.1206,0.1642,0.9004,0.0555,0.5484,0.0377,0.1054,0.2193,0.7983
4,0.7685,8.7738,0.0,8983.5158,0.5707,0.5552,0.6348,0.4767,0.6647,0.8555,0.1084,0.5286,0.0926,0.1308,0.0328,0.0539,0.68,0.0277,0.993,0.2392,0.4864
5,0.7178,1.258,0.0,8958.5257,0.5869,0.5907,0.6862,0.4918,0.7394,0.8491,0.2084,0.7056,0.1609,0.2958,0.9458,0.0735,0.7824,0.07,0.0773,0.2908,0.7939
6,0.6369,1.3598,0.0,8993.8549,0.6642,0.5835,0.6933,0.5836,0.5833,0.7878,0.1834,0.6664,0.1236,0.3547,0.941,0.1091,0.7015,0.0939,0.1301,0.292,0.7977
7,0.5717,5.911,0.0,8974.1558,0.6513,0.5394,0.6671,0.577,0.5064,0.072,0.1264,0.566,0.0675,1.0,0.9441,0.0482,0.6944,0.0457,0.051,0.238,0.5558
8,0.497,1.4778,0.0,9003.5213,0.6304,0.5443,0.6617,0.5411,0.5475,0.9026,0.1082,0.5764,0.1405,0.0879,0.9452,0.0459,0.7102,0.0445,0.0475,0.2328,0.8261
9,0.4435,1.9506,0.0,8964.1279,0.5913,0.5988,0.6694,0.4955,0.7566,0.7737,0.1253,0.5727,0.0846,0.2413,0.9607,0.0266,0.6429,0.0425,0.0193,0.2502,0.7752
10,0.3801,7.4721,0.0,8946.3293,0.6619,0.5263,0.6851,0.6048,0.4658,0.0884,0.1264,0.5349,0.0675,0.9818,0.9433,0.0381,0.6865,0.0361,0.0404,0.2303,0.5646
