epoch,train_loss,val_loss,lr,epoch_time_s,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,overall_acc
1,0.6182,7.9836,0.0,9066.1245,0.0278,0.054,0.7821,0.0278,1.0,0.0278
2,0.5128,10.2428,0.0001,8984.1317,0.0278,0.054,0.7303,0.0278,1.0,0.0278
3,0.4839,0.1929,0.0001,8969.4163,0.9638,0.1646,0.8258,0.2296,0.1283,0.9638
4,0.4024,9.873,0.0001,8999.1259,0.0278,0.054,0.8045,0.0278,1.0,0.0278
5,0.438,0.2729,0.0001,8970.3906,0.9281,0.2092,0.8333,0.1506,0.3427,0.9281
6,0.4091,0.2233,0.0001,8982.6519,0.9513,0.2348,0.8273,0.2084,0.2689,0.9513
7,0.3953,0.2381,0.0001,8973.6575,0.9592,0.1655,0.7773,0.1912,0.1459,0.9592
