epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.8256,1.5833,0.0,274.5535,0.6679,0.1366,0.5082,0.3333,0.0859,0.854,0.0,0.5124,0.0,0.0,0.7832,0.1818,0.6739,0.4648,0.113,0.1061,0.7684
2,1.6257,1.5141,0.0,270.6243,0.6942,0.2079,0.5887,0.5,0.1313,0.854,0.0,0.5555,0.0,0.0,0.7679,0.2996,0.6681,0.4198,0.2329,0.1692,0.772
3,1.2948,1.6408,0.0001,270.6664,0.7204,0.2732,0.6667,0.6667,0.1718,0.8482,0.1034,0.6075,0.375,0.06,0.7854,0.16,0.6869,0.4828,0.0959,0.1789,0.7847
4,0.9379,1.8253,0.0001,270.957,0.7555,0.4154,0.7529,0.7727,0.284,0.7774,0.3469,0.6059,0.3034,0.405,0.7847,0.2455,0.7076,0.4848,0.1644,0.3359,0.7725
5,0.6065,1.9677,0.0001,270.9486,0.8022,0.6178,0.82,0.7552,0.5227,0.727,0.3321,0.6318,0.2583,0.465,0.7978,0.1971,0.7326,0.6415,0.1164,0.3823,0.7757
6,0.3852,2.1052,0.0001,270.7236,0.8015,0.5952,0.8128,0.7905,0.4773,0.7803,0.3175,0.6349,0.2905,0.35,0.7737,0.2922,0.6961,0.4384,0.2192,0.4016,0.7852
7,0.287,2.5397,0.0001,270.5403,0.7949,0.6327,0.8168,0.6994,0.5776,0.6482,0.3249,0.6675,0.2257,0.58,0.7934,0.2204,0.7496,0.5634,0.137,0.3927,0.7455
8,0.2329,2.603,0.0001,270.828,0.7796,0.5746,0.7888,0.701,0.4869,0.8131,0.2809,0.642,0.3205,0.25,0.7781,0.2124,0.7027,0.4362,0.1404,0.356,0.7903
9,0.1862,3.0024,0.0001,270.9956,0.7489,0.5875,0.7691,0.5904,0.5847,0.7883,0.2677,0.5912,0.2704,0.265,0.792,0.2061,0.7157,0.5522,0.1267,0.3538,0.7764
10,0.1719,3.4395,0.0001,270.465,0.7599,0.4433,0.7634,0.7616,0.3126,0.7964,0.2937,0.6239,0.2974,0.29,0.7847,0.1141,0.7407,0.4634,0.0651,0.2837,0.7803
11,0.1241,2.9884,0.0001,270.6397,0.7912,0.6266,0.7983,0.6916,0.5728,0.8219,0.1921,0.6471,0.2843,0.145,0.7978,0.2534,0.7469,0.5949,0.161,0.3574,0.8036
12,0.1139,3.9689,0.0001,270.5866,0.7628,0.4227,0.7763,0.8264,0.284,0.7876,0.2954,0.6471,0.2864,0.305,0.7883,0.157,0.6879,0.5192,0.0925,0.2917,0.7796
13,0.1053,3.3173,0.0001,270.8423,0.8,0.6063,0.7997,0.7617,0.5036,0.7788,0.2592,0.6138,0.2536,0.265,0.7869,0.2663,0.7304,0.5,0.1815,0.3773,0.7886
14,0.0845,3.275,0.0001,270.4187,0.7927,0.612,0.7914,0.7157,0.5346,0.8058,0.2772,0.6248,0.3036,0.255,0.7803,0.2182,0.7529,0.4516,0.1438,0.3691,0.7929
15,0.0947,3.6116,0.0001,270.1929,0.7869,0.5956,0.7818,0.7096,0.5131,0.8321,0.3275,0.6196,0.3944,0.28,0.781,0.1379,0.7253,0.4286,0.0822,0.3537,0.8
16,0.0767,3.8207,0.0001,270.4444,0.7839,0.5529,0.7645,0.7531,0.4368,0.7949,0.3599,0.6703,0.3305,0.395,0.7737,0.1243,0.713,0.3548,0.0753,0.3457,0.7842
17,0.0591,4.0072,0.0001,270.0488,0.7883,0.5538,0.7768,0.7792,0.4296,0.7912,0.347,0.6519,0.3193,0.38,0.7803,0.1521,0.7264,0.4286,0.0925,0.351,0.7866
18,0.0475,4.0372,0.0001,269.985,0.7657,0.589,0.7853,0.6354,0.5489,0.8431,0.3544,0.6448,0.4436,0.295,0.7861,0.1838,0.7046,0.4925,0.113,0.3757,0.7983
19,0.0497,4.089,0.0,270.0585,0.7839,0.6186,0.7907,0.6723,0.5728,0.7577,0.3169,0.6497,0.2692,0.385,0.7883,0.2246,0.7229,0.5122,0.1438,0.3867,0.7766
20,0.0434,4.1663,0.0,270.021,0.7832,0.6107,0.7925,0.6773,0.5561,0.8015,0.2953,0.6335,0.3065,0.285,0.7898,0.234,0.7364,0.5238,0.1507,0.38,0.7915
21,0.0353,4.3385,0.0,270.1944,0.7832,0.6035,0.7848,0.6848,0.5394,0.765,0.3235,0.6474,0.279,0.385,0.792,0.2318,0.7241,0.5443,0.1473,0.3863,0.78
22,0.0361,4.2995,0.0,270.0451,0.792,0.6091,0.7913,0.7161,0.5298,0.7876,0.3153,0.6484,0.2978,0.335,0.7832,0.2326,0.7092,0.4737,0.1541,0.3856,0.7876
23,0.0304,4.0672,0.0,270.0314,0.7898,0.618,0.7941,0.6955,0.5561,0.8146,0.2865,0.6507,0.3269,0.255,0.7869,0.27,0.7377,0.5,0.1849,0.3915,0.7971
24,0.0203,4.4481,0.0,270.0217,0.7949,0.6059,0.8018,0.7347,0.5155,0.8153,0.2873,0.6438,0.329,0.255,0.7891,0.2252,0.7094,0.5185,0.1438,0.3728,0.7998
25,0.0178,4.4286,0.0,269.9848,0.7905,0.5917,0.7958,0.7324,0.4964,0.8285,0.3068,0.6354,0.3741,0.26,0.7876,0.2198,0.735,0.5062,0.1404,0.3728,0.8022
26,0.0193,4.6305,0.0,270.2185,0.7891,0.5969,0.7969,0.7181,0.5107,0.8241,0.3324,0.6553,0.3727,0.3,0.7788,0.1318,0.7125,0.4035,0.0788,0.3537,0.7973
