epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,0.4552,13.2476,0.0001,8551.1,0.4902,0.5713,0.5966,0.4322,0.8426,0.7366,0.106,0.471,0.0686,0.2326,0.0506,0.0553,0.5476,0.0284,1.0,0.2442,0.4258
2,0.3016,17.7419,0.0001,8453.6418,0.5041,0.5243,0.5515,0.4275,0.6779,0.7524,0.1166,0.5175,0.0767,0.2435,0.0492,0.0551,0.5812,0.0283,0.9982,0.232,0.4353
3,0.2368,3.361,0.0001,8325.707,0.5899,0.3059,0.5713,0.4815,0.2242,0.6507,0.1139,0.4981,0.0686,0.3343,0.9155,0.027,0.5334,0.0198,0.0422,0.1489,0.7187
4,0.1911,13.1477,0.0001,8284.2455,0.5322,0.563,0.6048,0.4515,0.7474,0.8513,0.0662,0.5072,0.0572,0.0785,0.0864,0.0569,0.609,0.0293,0.993,0.2287,0.4899
5,0.1712,4.2864,0.0001,8271.4676,0.5396,0.5419,0.5766,0.4525,0.6756,0.7359,0.1096,0.5184,0.0708,0.242,0.8943,0.0365,0.5522,0.0244,0.0721,0.2293,0.7232
6,0.1471,3.5455,0.0001,8283.6215,0.5788,0.542,0.6105,0.4825,0.6181,0.7234,0.1102,0.5148,0.0703,0.2551,0.9182,0.0444,0.551,0.0329,0.0685,0.2322,0.7401
7,0.1123,10.0838,0.0,8255.5337,0.6231,0.3592,0.6358,0.5711,0.262,0.1372,0.1292,0.5575,0.0693,0.9528,0.9571,0.0414,0.6012,0.0544,0.0334,0.1766,0.5725
8,0.1001,4.0991,0.0,8256.2119,0.6163,0.385,0.6228,0.544,0.2979,0.7849,0.1289,0.555,0.0885,0.2369,0.9446,0.0405,0.4932,0.039,0.0422,0.1848,0.7819
9,0.0955,3.9869,0.0,8323.2217,0.6036,0.4254,0.5912,0.5118,0.3639,0.77,0.1206,0.5439,0.0811,0.2347,0.9459,0.0382,0.5643,0.0377,0.0387,0.1947,0.7732
10,0.0775,7.6506,0.0,8426.7948,0.6456,0.5763,0.6729,0.5563,0.5979,0.2578,0.1347,0.5795,0.0731,0.8605,0.9485,0.0786,0.5999,0.0781,0.0791,0.2632,0.6173
11,0.0724,4.1694,0.0,8428.253,0.6232,0.4925,0.6406,0.5388,0.4535,0.8063,0.1095,0.5217,0.0792,0.1773,0.8885,0.0655,0.5767,0.0427,0.1406,0.2225,0.7727
12,0.0679,4.3141,0.0,8410.2727,0.625,0.5023,0.65,0.5402,0.4694,0.7643,0.1237,0.5378,0.0824,0.2478,0.9288,0.0581,0.5773,0.046,0.0791,0.2281,0.7727
13,0.065,9.4316,0.0,8421.0206,0.6004,0.5578,0.641,0.5036,0.6251,0.8329,0.1358,0.5582,0.104,0.1955,0.6085,0.0659,0.5912,0.0353,0.4974,0.2532,0.6806
14,0.0593,4.5024,0.0,8443.6089,0.6157,0.4918,0.627,0.5268,0.4612,0.8055,0.1158,0.5371,0.0833,0.1897,0.924,0.0523,0.5628,0.04,0.0756,0.22,0.7817
15,0.0591,4.3276,0.0,8446.742,0.6103,0.5707,0.6576,0.5134,0.6423,0.805,0.1298,0.5565,0.0927,0.2166,0.94,0.0654,0.6052,0.0576,0.0756,0.2553,0.7851
16,0.0642,4.7917,0.0,8448.3244,0.622,0.4656,0.6174,0.5413,0.4085,0.7369,0.1423,0.5587,0.0911,0.3249,0.9459,0.0562,0.5833,0.0545,0.058,0.2214,0.7683
17,0.0588,7.175,0.0,8441.6636,0.5923,0.5487,0.6314,0.4955,0.6147,0.7286,0.1356,0.5402,0.0862,0.3169,0.7907,0.0731,0.6103,0.0417,0.297,0.2524,0.7039
18,0.0557,4.8082,0.0,8446.0177,0.6141,0.5399,0.6382,0.5198,0.5616,0.7293,0.1247,0.5422,0.0796,0.2871,0.9432,0.082,0.5866,0.0744,0.0914,0.2489,0.7622
19,0.0573,5.0671,0.0,8431.5113,0.5977,0.5408,0.6279,0.5009,0.5876,0.704,0.1249,0.5419,0.0779,0.3147,0.9492,0.0596,0.5296,0.0613,0.058,0.2418,0.7503
20,0.0581,6.995,0.0,8430.3783,0.6275,0.524,0.65,0.5404,0.5087,0.4104,0.1364,0.561,0.0756,0.6933,0.9425,0.0739,0.5886,0.0669,0.0826,0.2448,0.6601
21,0.0557,7.3095,0.0,8384.4145,0.6228,0.5286,0.6394,0.5327,0.5246,0.4677,0.135,0.5423,0.0758,0.6185,0.8946,0.0714,0.6063,0.0473,0.1459,0.245,0.6617
22,0.0636,4.8376,0.0,8379.0566,0.6219,0.5266,0.6396,0.5317,0.5216,0.7578,0.1224,0.5185,0.0809,0.2515,0.9193,0.0656,0.5663,0.0483,0.1019,0.2382,0.7664
23,0.0582,4.4168,0.0,8376.8304,0.6237,0.5805,0.667,0.5272,0.6458,0.8069,0.1309,0.552,0.0938,0.2166,0.935,0.0763,0.5966,0.0631,0.0967,0.2626,0.7885
24,0.0601,4.5484,0.0,8436.0782,0.6196,0.5494,0.6481,0.5258,0.5751,0.7807,0.1331,0.5524,0.0906,0.2507,0.9387,0.0627,0.5666,0.0545,0.0738,0.2484,0.7797
