epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.7663,1.537,0.0,161.3689,0.6942,0.0,0.4648,0.0,0.0,0.854,0.0,0.4788,0.0,0.0,0.7869,0.0,0.6196,0.0,0.0,0.0,0.7783
2,1.6218,1.4554,0.0,164.5916,0.6942,0.0,0.5576,0.0,0.0,0.854,0.0,0.4804,0.0,0.0,0.781,0.0446,0.6394,0.3182,0.024,0.0149,0.7764
3,1.578,1.4363,0.0001,170.8699,0.6942,0.0,0.5882,0.0,0.0,0.854,0.0,0.5073,0.0,0.0,0.7869,0.1657,0.6189,0.5,0.0993,0.0552,0.7783
4,1.5279,1.4825,0.0001,173.6595,0.6781,0.1848,0.61,0.4098,0.1193,0.854,0.0,0.5328,0.0,0.0,0.7453,0.2774,0.6172,0.3508,0.2295,0.1541,0.7591
5,1.4826,1.4152,0.0001,162.0456,0.6883,0.2389,0.6403,0.4718,0.1599,0.854,0.0,0.5734,0.0,0.0,0.7905,0.2347,0.6253,0.5301,0.1507,0.1578,0.7776
6,1.4499,1.474,0.0001,160.8154,0.7073,0.1833,0.6385,0.625,0.1074,0.8547,0.0293,0.5808,0.6,0.015,0.7942,0.2079,0.6063,0.5781,0.1267,0.1401,0.7854
7,1.3985,1.4492,0.0001,177.4118,0.7117,0.2084,0.6787,0.65,0.1241,0.8482,0.028,0.5933,0.2143,0.015,0.7934,0.1844,0.6285,0.5818,0.1096,0.1403,0.7844
8,1.3866,1.4306,0.0001,175.963,0.7022,0.3355,0.6698,0.5282,0.2458,0.8474,0.0,0.5943,0.0,0.0,0.7752,0.2936,0.6493,0.4444,0.2192,0.2097,0.7749
9,1.3602,1.4986,0.0001,177.4963,0.7036,0.3,0.6579,0.5404,0.2076,0.8394,0.0517,0.5842,0.1875,0.03,0.7861,0.2801,0.6285,0.4957,0.1952,0.2106,0.7764
10,1.3438,1.4379,0.0001,175.8245,0.7299,0.3273,0.6871,0.687,0.2148,0.8445,0.0,0.5851,0.0,0.0,0.7781,0.2475,0.6357,0.4464,0.1712,0.1916,0.7842
11,1.3136,1.467,0.0001,176.8927,0.7219,0.3035,0.6893,0.6484,0.1981,0.8358,0.0088,0.5943,0.037,0.005,0.7818,0.243,0.6377,0.466,0.1644,0.1851,0.7798
