epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
12,1.2956,1.5361,0.0001,174.3143,0.7131,0.3461,0.6764,0.5714,0.2482,0.808,0.0641,0.6002,0.1111,0.045,0.7927,0.224,0.6177,0.5541,0.1404,0.2114,0.7713
13,1.2856,1.4393,0.0001,175.0779,0.692,0.4491,0.6886,0.4957,0.4105,0.8197,0.0463,0.6218,0.1017,0.03,0.7803,0.2456,0.6854,0.4579,0.1678,0.247,0.764
14,1.2702,1.4899,0.0001,176.0031,0.7168,0.3217,0.6963,0.6013,0.2196,0.7985,0.1039,0.6036,0.1481,0.08,0.7496,0.2986,0.663,0.3706,0.25,0.2414,0.755
15,1.2611,1.4614,0.0001,176.7147,0.7124,0.352,0.6859,0.5661,0.2554,0.8489,0.0,0.6076,0.0,0.0,0.7883,0.2487,0.6648,0.5106,0.1644,0.2002,0.7832
16,1.2369,1.4445,0.0001,173.4923,0.6978,0.3551,0.6979,0.5112,0.2721,0.8234,0.0547,0.6204,0.125,0.035,0.754,0.3023,0.7046,0.3822,0.25,0.2374,0.7584
17,1.2218,1.523,0.0001,176.0746,0.7263,0.3568,0.6887,0.6341,0.2482,0.7949,0.0726,0.6098,0.1068,0.055,0.7679,0.1846,0.641,0.3673,0.1233,0.2047,0.763
18,1.2295,1.4334,0.0001,172.5456,0.7321,0.3705,0.7263,0.6585,0.2578,0.7978,0.0797,0.5961,0.1188,0.06,0.7657,0.2787,0.7178,0.4052,0.2123,0.243,0.7652
19,1.2127,1.4738,0.0,176.0717,0.7073,0.3604,0.6992,0.5433,0.2697,0.8219,0.0543,0.6039,0.1207,0.035,0.7745,0.2763,0.6881,0.437,0.2021,0.2304,0.7679
20,1.2003,1.4524,0.0,176.3331,0.7073,0.4344,0.7022,0.531,0.3675,0.8029,0.0753,0.6088,0.1196,0.055,0.7628,0.3408,0.6989,0.4179,0.2877,0.2835,0.7577
21,1.1901,1.4451,0.0,177.0088,0.7109,0.4762,0.7029,0.5341,0.4296,0.8095,0.0225,0.5851,0.0448,0.015,0.7467,0.3129,0.7014,0.3709,0.2705,0.2705,0.7557
22,1.1927,1.4744,0.0,175.7151,0.7336,0.3947,0.7267,0.6467,0.284,0.7985,0.08,0.6097,0.12,0.06,0.7796,0.1657,0.7132,0.4286,0.1027,0.2135,0.7706
23,1.1741,1.4361,0.0,176.137,0.7168,0.388,0.7044,0.5721,0.2936,0.8029,0.0625,0.6079,0.1023,0.045,0.7562,0.3425,0.7155,0.4028,0.2979,0.2643,0.7586
24,1.1881,1.4489,0.0,174.0567,0.7168,0.4868,0.7232,0.546,0.4391,0.792,0.1642,0.592,0.1986,0.14,0.773,0.3588,0.7335,0.4508,0.2979,0.3366,0.7606
25,1.1762,1.4102,0.0,177.8506,0.7255,0.4535,0.7224,0.5799,0.3723,0.8124,0.0517,0.6033,0.0986,0.035,0.7635,0.3306,0.727,0.4167,0.274,0.2786,0.7672
26,1.158,1.4191,0.0,173.9162,0.7285,0.4609,0.7284,0.5867,0.3795,0.7949,0.0787,0.5964,0.1143,0.06,0.7657,0.3037,0.7368,0.4142,0.2397,0.2811,0.763
27,1.1565,1.426,0.0,175.3159,0.7197,0.4386,0.7318,0.566,0.358,0.7985,0.0612,0.5875,0.0957,0.045,0.7628,0.3187,0.7322,0.4108,0.2603,0.2728,0.7603
28,1.1541,1.4027,0.0,173.0817,0.7219,0.4656,0.7348,0.5646,0.3962,0.8095,0.1031,0.6,0.1648,0.075,0.7679,0.3205,0.7515,0.4261,0.2568,0.2964,0.7664
29,1.1424,1.4275,0.0,178.3091,0.7365,0.4187,0.7274,0.6436,0.3103,0.8022,0.0557,0.6001,0.092,0.04,0.7642,0.3142,0.7322,0.4134,0.2534,0.2629,0.7676
30,1.1428,1.4726,0.0,175.286,0.7255,0.3649,0.7173,0.6243,0.2578,0.7956,0.0728,0.5931,0.1078,0.055,0.7788,0.2592,0.7215,0.453,0.1815,0.2323,0.7667
