epoch,train_loss,val_loss,lr,epoch_time_s,actions_acc,actions_f1,actions_auc,actions_precision,actions_recall,looks_acc,looks_f1,looks_auc,looks_precision,looks_recall,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,macro_f1,overall_acc
1,1.7215,1.4988,0.0,172.9882,0.6934,0.0094,0.6163,0.4,0.0048,0.854,0.0,0.5867,0.0,0.0,0.7876,0.0268,0.679,0.5714,0.0137,0.0121,0.7783
2,1.5403,1.313,0.0,170.8957,0.6949,0.1469,0.6731,0.507,0.0859,0.854,0.0,0.6812,0.0,0.0,0.827,0.5362,0.792,0.6256,0.4692,0.2277,0.792
3,1.4245,1.2672,0.0001,169.3914,0.727,0.3987,0.717,0.6108,0.2959,0.8474,0.1106,0.7293,0.3714,0.065,0.8204,0.5157,0.8232,0.6065,0.4486,0.3417,0.7983
4,1.3514,1.2293,0.0001,170.3308,0.7438,0.449,0.7557,0.656,0.3413,0.8555,0.0198,0.7314,1.0,0.01,0.8139,0.5405,0.8286,0.5703,0.5137,0.3364,0.8044
5,1.2702,1.1843,0.0001,171.5254,0.7599,0.4753,0.8117,0.7163,0.3556,0.8394,0.3125,0.7603,0.4167,0.25,0.8044,0.4924,0.8224,0.5508,0.4452,0.4267,0.8012
6,1.2013,1.1804,0.0001,169.2669,0.7912,0.5972,0.8386,0.7285,0.506,0.8336,0.3736,0.7699,0.4146,0.34,0.8146,0.4837,0.8369,0.595,0.4075,0.4848,0.8131
7,1.1348,1.1621,0.0001,168.2584,0.7847,0.645,0.8459,0.6505,0.6396,0.8365,0.2774,0.7714,0.3909,0.215,0.8204,0.5886,0.8403,0.5752,0.6027,0.5037,0.8139
8,1.0977,1.1957,0.0001,171.0828,0.8007,0.6345,0.8423,0.7226,0.5656,0.8423,0.3933,0.7656,0.4487,0.35,0.8073,0.5385,0.827,0.55,0.5274,0.5221,0.8168
9,1.081,1.1606,0.0001,171.3942,0.8044,0.6528,0.8567,0.7139,0.6014,0.8387,0.4107,0.7684,0.44,0.385,0.8226,0.5729,0.836,0.5884,0.5582,0.5455,0.8219
10,1.0394,1.2835,0.0001,168.8549,0.7985,0.6102,0.8247,0.7474,0.5155,0.8474,0.4046,0.7611,0.4702,0.355,0.7774,0.5661,0.8295,0.4842,0.6815,0.527,0.8078
11,1.0143,1.1901,0.0001,170.6966,0.8058,0.6527,0.852,0.7205,0.5967,0.838,0.4505,0.778,0.4461,0.455,0.8248,0.5683,0.8314,0.5985,0.5411,0.5572,0.8229
12,0.989,1.2284,0.0001,170.7073,0.8095,0.639,0.8593,0.7599,0.5513,0.8212,0.4068,0.7755,0.3944,0.42,0.8277,0.5513,0.8263,0.6197,0.4966,0.5324,0.8195
13,0.9871,1.228,0.0001,170.2809,0.8073,0.6615,0.856,0.7147,0.6158,0.8401,0.4065,0.7585,0.4438,0.375,0.8131,0.569,0.8288,0.5596,0.5788,0.5457,0.8202
14,0.948,1.2347,0.0001,171.1093,0.8168,0.6409,0.8517,0.8,0.5346,0.8343,0.4395,0.7696,0.4341,0.445,0.8219,0.5308,0.8305,0.6053,0.4726,0.5371,0.8243
15,0.9231,1.2742,0.0001,168.6972,0.8095,0.6515,0.8636,0.7394,0.5823,0.8146,0.433,0.78,0.3911,0.485,0.8175,0.5098,0.817,0.5963,0.4452,0.5315,0.8139
16,0.9254,1.2668,0.0001,170.5081,0.8044,0.6446,0.8579,0.7254,0.58,0.8204,0.4332,0.7779,0.4017,0.47,0.808,0.5209,0.8117,0.5564,0.4897,0.5329,0.8109
17,0.9141,1.2611,0.0001,172.104,0.8161,0.6658,0.8693,0.7493,0.599,0.8139,0.3943,0.7597,0.3756,0.415,0.8168,0.5182,0.8156,0.5895,0.4623,0.5261,0.8156
18,0.899,1.2734,0.0001,169.3122,0.8175,0.6684,0.8658,0.7522,0.6014,0.8328,0.3926,0.7799,0.4181,0.37,0.8277,0.5124,0.8243,0.6458,0.4247,0.5245,0.826
19,0.8678,1.3316,0.0,168.3297,0.8044,0.6278,0.8546,0.7508,0.5394,0.8204,0.4358,0.7879,0.4025,0.475,0.8248,0.5294,0.8162,0.6193,0.4623,0.531,0.8165
20,0.8613,1.2807,0.0,168.3251,0.808,0.6033,0.854,0.8197,0.4773,0.8401,0.3689,0.761,0.4354,0.32,0.8095,0.5246,0.8079,0.5603,0.4932,0.4989,0.8192
21,0.8578,1.2889,0.0,170.4569,0.8095,0.6782,0.8667,0.7015,0.6563,0.8307,0.4051,0.767,0.4158,0.395,0.8182,0.5363,0.818,0.5878,0.4932,0.5399,0.8195
22,0.8519,1.377,0.0,169.8963,0.8131,0.6684,0.8661,0.7309,0.6158,0.7803,0.4178,0.7854,0.3407,0.54,0.8124,0.5142,0.8022,0.5738,0.4658,0.5335,0.8019
23,0.8519,1.2938,0.0,169.9301,0.8285,0.6999,0.8716,0.7527,0.6539,0.8255,0.4429,0.7915,0.4148,0.475,0.8212,0.5224,0.8069,0.6063,0.4589,0.5551,0.8251
24,0.8226,1.3354,0.0,170.9,0.8248,0.6907,0.8677,0.7507,0.6396,0.808,0.4245,0.78,0.3774,0.485,0.819,0.5321,0.8124,0.5924,0.4829,0.5491,0.8173
25,0.8323,1.3106,0.0,172.9041,0.8175,0.6719,0.8688,0.7464,0.611,0.8204,0.4171,0.7786,0.3964,0.44,0.8131,0.5133,0.8106,0.5769,0.4623,0.5341,0.817
26,0.8237,1.3246,0.0,172.5041,0.8277,0.6967,0.866,0.7549,0.6468,0.8234,0.4398,0.7883,0.4095,0.475,0.8255,0.5249,0.817,0.6256,0.4521,0.5538,0.8255
27,0.8222,1.3868,0.0,170.0881,0.8234,0.6756,0.8728,0.7706,0.6014,0.7869,0.4427,0.788,0.358,0.58,0.8234,0.4958,0.8147,0.633,0.4075,0.5381,0.8112
28,0.8119,1.3114,0.0,168.6842,0.8277,0.6997,0.8729,0.7493,0.6563,0.8255,0.4455,0.7906,0.4156,0.48,0.8182,0.5146,0.8102,0.5973,0.4521,0.5533,0.8238
29,0.8087,1.3246,0.0,171.1249,0.8241,0.689,0.8686,0.75,0.6372,0.8277,0.4381,0.7905,0.4182,0.46,0.8161,0.5135,0.8101,0.5885,0.4555,0.5469,0.8226
30,0.8092,1.3091,0.0,169.3037,0.8175,0.6459,0.8707,0.7944,0.5442,0.8453,0.4301,0.7707,0.4651,0.4,0.8234,0.5179,0.8063,0.619,0.4452,0.5313,0.8287
