epoch,train_loss,val_loss,lr,epoch_time_s,crosses_acc,crosses_f1,crosses_auc,crosses_precision,crosses_recall,overall_acc
1,0.6795,0.5773,0.0,171.8372,0.7883,0.0333,0.6962,0.625,0.0171,0.7883
2,0.585,0.5021,0.0,169.5707,0.8241,0.5374,0.7962,0.6114,0.4795,0.8241
3,0.5175,0.4903,0.0001,167.6443,0.8204,0.5323,0.8273,0.5983,0.4795,0.8204
4,0.4901,0.5097,0.0001,170.5295,0.8036,0.5509,0.8303,0.5375,0.5651,0.8036
5,0.4671,0.5048,0.0001,171.472,0.8022,0.5287,0.8248,0.5371,0.5205,0.8022
6,0.4496,0.5084,0.0001,169.0882,0.8241,0.5374,0.8232,0.6114,0.4795,0.8241
7,0.419,0.5686,0.0001,167.2983,0.8073,0.56,0.8191,0.5455,0.5753,0.8073
8,0.4001,0.5987,0.0001,169.6604,0.7993,0.4681,0.7925,0.5378,0.4144,0.7993
9,0.4051,0.5659,0.0001,170.5112,0.808,0.5681,0.8241,0.5457,0.5925,0.808
10,0.3798,0.6047,0.0001,170.0618,0.7891,0.5223,0.8054,0.5048,0.5411,0.7891
11,0.3716,0.585,0.0001,170.5139,0.8292,0.5776,0.8176,0.6107,0.5479,0.8292
12,0.3576,0.6206,0.0001,171.0386,0.8204,0.5527,0.8192,0.5891,0.5205,0.8204
13,0.3552,0.67,0.0001,170.3327,0.7934,0.5782,0.8208,0.5119,0.6644,0.7934
14,0.3279,0.619,0.0001,170.8801,0.8299,0.5725,0.8177,0.6166,0.5342,0.8299
15,0.3189,0.6937,0.0001,168.2754,0.8175,0.504,0.8025,0.5991,0.4349,0.8175
16,0.3233,0.6609,0.0001,169.9076,0.8146,0.568,0.8059,0.5642,0.5719,0.8146
17,0.3168,0.6895,0.0001,170.1014,0.8248,0.5539,0.8126,0.6057,0.5103,0.8248
18,0.3037,0.7631,0.0001,168.8758,0.8241,0.5374,0.8048,0.6114,0.4795,0.8241
19,0.2918,0.7557,0.0,168.1226,0.8175,0.5336,0.7974,0.5861,0.4897,0.8175
20,0.2773,0.6997,0.0,167.5208,0.819,0.5194,0.7859,0.5982,0.4589,0.819
21,0.2856,0.722,0.0,168.8795,0.8204,0.556,0.8104,0.5878,0.5274,0.8204
22,0.2867,0.7657,0.0,171.1335,0.8124,0.5386,0.7915,0.566,0.5137,0.8124
23,0.2836,0.7495,0.0,167.9242,0.8153,0.549,0.7995,0.5725,0.5274,0.8153
24,0.2615,0.7643,0.0,169.8727,0.8139,0.5389,0.8074,0.5709,0.5103,0.8139
25,0.2666,0.7701,0.0,170.1271,0.819,0.5321,0.8003,0.5924,0.4829,0.819
26,0.2627,0.7552,0.0,170.0632,0.8241,0.561,0.8121,0.5992,0.5274,0.8241
27,0.2604,0.8154,0.0,168.5138,0.8226,0.5111,0.7968,0.6195,0.4349,0.8226
28,0.2531,0.7515,0.0,168.8893,0.8277,0.5597,0.8001,0.6148,0.5137,0.8277
29,0.2562,0.7906,0.0,170.9255,0.8248,0.5539,0.796,0.6057,0.5103,0.8248
30,0.2577,0.7681,0.0,168.3074,0.8219,0.51,0.7814,0.6165,0.4349,0.8219
